Designator,Mid X,Mid Y,Layer,Rotation
24V,70.59mm,36.7mm,Top,0
C1,84.98mm,76.17mm,Top,0
C2,75.15mm,76.07mm,Top,0
C3,60.75mm,41.34mm,Top,90
C4,65.23mm,41.36mm,Top,270
C11,76.44mm,55.32mm,Top,180
C12,70.82mm,60.23mm,Top,0
C13,70.73mm,75.97mm,Top,180
C14,80.56mm,76.17mm,Top,180
GND,75.67mm,36.7mm,Top,0
L2,70.42mm,67.62mm,Top,0
Q2,70.4mm,70.66mm,Top,90
R1,60.76mm,46.57mm,Top,90
R2,65.43mm,46.95mm,Top,270
R3,70.8mm,57.82mm,Top,0
R4,70.78mm,55.42mm,Top,0
R11,70.78mm,62.65mm,Top,0
R12,70.8mm,65.05mm,Top,0
R13,85.71mm,67.2mm,Top,0
R14,93.11mm,41.03mm,Top,0
R15,100.35mm,76.08mm,Top,180
U1,78.41mm,64.25mm,Top,270
U2,77.55mm,46.47mm,Top,270
U3,101.82mm,62.94mm,Top,270
ZDIR,80.75mm,36.7mm,Top,0
ZOUT,85.83mm,36.7mm,Top,0
Z_OUT,93.1mm,38.73mm,Top,180
